region,site_name_ko,disambiguation,site_name_en,order,diocese,road_address,latitude,longitude,iljumun,iljumun_name,geumgangmun,geumgangmun_name,cheonwangmun,cheonwangmun_name,bulimun,bulimun_name,pagoda,pagoda_name,main_hall_name,annex_halls,parking_info,access_info,meal_available,heritage,walk_path,verse1_asset,flower_badge,viewpoint,sources
서울,도선사,강북 우이동,Doseonsa,대한불교조계종,직할교구 본사 조계사 말사,서울특별시 강북구 도선사길 504,미확인,미확인,?,미확인,?,미확인,Y,천왕문,?,미확인,Y,칠층석탑,대웅전,호국참회원·삼성각·청담기념관,입구 주차 후 절 운행버스/전용택시,입구~절 약 2.5~3km(포장도로 셔틀·택시),사찰음식·템플스테이,서울 유형문화유산 마애불입상·목아미타불·석독성상·청동종,자비문~청담폭포 진입로,계곡·약수·사찰림,미확인,만경대·삼각산 조망,http://doseonsa.org · 나무위키
서울,묘각사,종로 숭인동,Myogaksa,대한불교관음종,관음종 총본산(조계종 아님),서울특별시 종로구 종로63가길 31(숭인동),미확인,미확인,N,없음(도심 소규모),N,없음,N,없음,N,없음,N,없음,대불보전(2층)·원통보전(1층),낙가선원·석굴암·산신각,도심 주차 제한,낙산(동망봉) 자락·도심 접근,사찰음식·템플스테이(2002년부터 운영),미확인,낙산공원 산책로,낙산(도심 바위산),미확인,낙산 서울 도심 조망,https://ko.wikipedia.org/wiki/묘각사_(서울_종로구)
경기/인천,연등국제선원,강화,Lotus Lantern International Meditation Center,대한불교조계종,미확인(국제포교 선원),인천광역시 강화군 길상면 강화동로 349-60,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,미확인(법당),선방·강당,주차장 있음,1997년 개원·국제 템플스테이,사찰음식·템플스테이(외국인 특화),미확인,경내 산책로,사찰림,미확인,미확인,http://www.lotuslantern.net
경기/인천,법륜사,용인 원삼,Beomnyunsa (Yongin),대한불교조계종,교구 상충(제2교구 용주사 vs 제7교구 수덕사),경기도 용인시 처인구 원삼면 농촌파크로 126,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,대웅전(아자형 석가·문수·보현),미확인,주차장 있음,문수산 자락·2005년 창건,사찰음식·템플스테이,미확인,경내 산책로,사찰림,미확인,미확인,https://ko.wikipedia.org · 디지털용인문화대전
경기/인천,봉인사,남양주 진건,Bonginsa,대한불교조계종,제25교구 봉선사 권역(말사 표기 미확인),경기도 남양주시 진건읍 사릉로156번길 295,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,큰법당(석가모니불),사리탑·부도암,주차장 있음,천마산 자락,사찰음식·템플스테이,미확인,경내 산책로,사찰림,미확인,미확인,디지털남양주문화대전
경기/인천,묘적사,남양주 와부,Myojeoksa,대한불교조계종,제25교구 본사 봉선사 말사,경기도 남양주시 와부읍 수레로661번길 174,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,Y,팔각칠층석탑,대웅전,산신각,주차장 있음,월문리 계곡,사찰음식·템플스테이,경기 유형문화유산 팔각칠층석탑,계곡 진입로,계곡·사찰림,미확인,미확인,묘적사 공식홈페이지 · 디지털남양주문화대전
경기/인천,백련사,가평 축령산,Baengnyeonsa (Gapyeong),대한불교조계종,제25교구 본사 봉선사 말사,경기도 가평군 상면 샘골길 159-50,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,대웅전,미확인,주차장 있음,축령산 자연휴양림 인근·1997년 창건,사찰음식·템플스테이,미확인,축령산 등산로 연계,사찰림,미확인,축령산 조망,백련사 공식홈페이지 · 디지털가평문화대전
경기/인천,용문사,양평 용문산,Yongmunsa (Yangpyeong),대한불교조계종,제25교구 본사 봉선사 말사,경기도 양평군 용문면 용문산로 782,37.5478,127.5545,Y,일주문,?,미확인,?,미확인,?,미확인,?,미확인,대웅전,지장전·관음전·삼성각·범종각,주차장 있음(관광지),용문산 관광지·입장료,사찰음식·템플스테이,천연기념물 제30호 은행나무·보물 금동관음보살상·보물 정지국사부도,은행나무~대웅전 진입로,사찰림·노거수 은행나무,은행나무 단풍(가을),용문산 조망,https://ko.wikipedia.org · https://www.heritage.go.kr
경기/인천,흥국사,고양 노고산,Heungguksa (Goyang),대한불교조계종,직할교구 본사 조계사 말사,경기도 고양시 덕양구 흥국로 82,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,약사전(약사여래),나한전·만월보전,주차장 있음,노고산 자락,사찰음식,미확인,경내 산책로,사찰림,미확인,미확인,https://ko.wikipedia.org · 나무위키
경기/인천,연주암,과천 관악산,Yeonjuam,대한불교조계종,제2교구 본사 용주사 말사,경기도 과천시 자하동길 63(중앙동 산12-4),미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,Y,삼층석탑(고려 양식 높이 약 3.6m),대웅전,금륜보전(삼성각)·천수관음전·영산전·효령각·연주대 응진전,주차장 없음(등산 접근),관악산 등산로·연주대 절벽,사찰음식·템플스테이,경기 기념물 연주대,관악산 등산로(정상 인근),사찰림·기암,미확인,관악산 정상·서울 조망,https://ko.wikipedia.org/wiki/관악산
